"Código","Unidade Territorial","UF","Referência","Quantidade total de famílias inscritas no Cadastro Único"
"330010","ANGRA DOS REIS","RJ","02/2025","35889"
"330010","ANGRA DOS REIS","RJ","01/2025","35815"
"330010","ANGRA DOS REIS","RJ","03/2025","36057"
"330010","ANGRA DOS REIS","RJ","05/2025","36863"
"330010","ANGRA DOS REIS","RJ","06/2024","37119"
"330010","ANGRA DOS REIS","RJ","12/2024","36758"
"330010","ANGRA DOS REIS","RJ","11/2024","36636"
"330010","ANGRA DOS REIS","RJ","10/2024","36385"
"330010","ANGRA DOS REIS","RJ","09/2024","36038"
"330010","ANGRA DOS REIS","RJ","08/2024","36232"
"330010","ANGRA DOS REIS","RJ","07/2024","35855"
"330010","ANGRA DOS REIS","RJ","05/2024","37188"
"330010","ANGRA DOS REIS","RJ","04/2024","37463"
"330010","ANGRA DOS REIS","RJ","03/2024","37473"
"330010","ANGRA DOS REIS","RJ","02/2024","36955"
"330010","ANGRA DOS REIS","RJ","01/2024","37219"
"330010","ANGRA DOS REIS","RJ","12/2023","39309"
"330010","ANGRA DOS REIS","RJ","11/2023","39082"
"330010","ANGRA DOS REIS","RJ","10/2023","38960"
"330010","ANGRA DOS REIS","RJ","09/2023","38772"
"330010","ANGRA DOS REIS","RJ","08/2023","38478"
"330010","ANGRA DOS REIS","RJ","07/2023","38260"
"330010","ANGRA DOS REIS","RJ","06/2023","37936"
"330010","ANGRA DOS REIS","RJ","05/2023","37666"
"330010","ANGRA DOS REIS","RJ","04/2023","37566"
"330010","ANGRA DOS REIS","RJ","03/2023","37812"
"330010","ANGRA DOS REIS","RJ","02/2023","37451"
"330010","ANGRA DOS REIS","RJ","01/2023","36995"
"330010","ANGRA DOS REIS","RJ","12/2022","36767"
"330010","ANGRA DOS REIS","RJ","11/2022","36215"
"330010","ANGRA DOS REIS","RJ","10/2022","35453"
"330010","ANGRA DOS REIS","RJ","09/2022","34019"
"330010","ANGRA DOS REIS","RJ","08/2022","32851"
"330010","ANGRA DOS REIS","RJ","07/2022","31944"
"330010","ANGRA DOS REIS","RJ","06/2022","31114"
"330010","ANGRA DOS REIS","RJ","05/2022","30375"
"330010","ANGRA DOS REIS","RJ","04/2022","29723"
"330010","ANGRA DOS REIS","RJ","03/2022","28795"
"330010","ANGRA DOS REIS","RJ","02/2022","28267"
"330010","ANGRA DOS REIS","RJ","01/2022","27421"
"330010","ANGRA DOS REIS","RJ","07/2021","24981"
"330010","ANGRA DOS REIS","RJ","06/2021","24494"
"330010","ANGRA DOS REIS","RJ","05/2021","24263"
"330010","ANGRA DOS REIS","RJ","08/2021","25326"
"330010","ANGRA DOS REIS","RJ","09/2021","25666"
"330010","ANGRA DOS REIS","RJ","11/2021","26527"
"330010","ANGRA DOS REIS","RJ","02/2021","23343"
"330010","ANGRA DOS REIS","RJ","12/2021","26882"
"330010","ANGRA DOS REIS","RJ","04/2021","23956"
"330010","ANGRA DOS REIS","RJ","03/2021","23645"
"330010","ANGRA DOS REIS","RJ","10/2021","26015"
"330010","ANGRA DOS REIS","RJ","01/2021","23007"
"330010","ANGRA DOS REIS","RJ","01/2020","21476"
"330010","ANGRA DOS REIS","RJ","02/2020","20637"
"330010","ANGRA DOS REIS","RJ","03/2020","20910"
"330010","ANGRA DOS REIS","RJ","04/2020","21001"
"330010","ANGRA DOS REIS","RJ","05/2020","21112"
"330010","ANGRA DOS REIS","RJ","06/2020","21333"
"330010","ANGRA DOS REIS","RJ","08/2020","21977"
"330010","ANGRA DOS REIS","RJ","09/2020","22350"
"330010","ANGRA DOS REIS","RJ","12/2020","22694"
"330010","ANGRA DOS REIS","RJ","07/2020","21632"
"330010","ANGRA DOS REIS","RJ","11/2020","22338"
"330010","ANGRA DOS REIS","RJ","10/2020","22824"
"330010","ANGRA DOS REIS","RJ","01/2019","19123"
"330010","ANGRA DOS REIS","RJ","02/2019","19472"
"330010","ANGRA DOS REIS","RJ","03/2019","19761"
"330010","ANGRA DOS REIS","RJ","04/2019","19512"
"330010","ANGRA DOS REIS","RJ","05/2019","19878"
"330010","ANGRA DOS REIS","RJ","06/2019","20331"
"330010","ANGRA DOS REIS","RJ","07/2019","20638"
"330010","ANGRA DOS REIS","RJ","09/2019","20275"
"330010","ANGRA DOS REIS","RJ","08/2019","21101"
"330010","ANGRA DOS REIS","RJ","11/2019","20988"
"330010","ANGRA DOS REIS","RJ","12/2019","21337"
"330010","ANGRA DOS REIS","RJ","10/2019","20723"
"330010","ANGRA DOS REIS","RJ","01/2018","19598"
"330010","ANGRA DOS REIS","RJ","02/2018","19726"
