"Código","Unidade Territorial","UF","Referência","Quantidade total de pessoas inscritas no Cadastro Único"
"330010","ANGRA DOS REIS","RJ","02/2025","80111"
"330010","ANGRA DOS REIS","RJ","01/2025","80323"
"330010","ANGRA DOS REIS","RJ","03/2025","80392"
"330010","ANGRA DOS REIS","RJ","05/2025","82158"
"330010","ANGRA DOS REIS","RJ","06/2024","83622"
"330010","ANGRA DOS REIS","RJ","12/2024","81924"
"330010","ANGRA DOS REIS","RJ","11/2024","81753"
"330010","ANGRA DOS REIS","RJ","10/2024","81286"
"330010","ANGRA DOS REIS","RJ","09/2024","80711"
"330010","ANGRA DOS REIS","RJ","08/2024","81407"
"330010","ANGRA DOS REIS","RJ","07/2024","80839"
"330010","ANGRA DOS REIS","RJ","05/2024","83604"
"330010","ANGRA DOS REIS","RJ","04/2024","83685"
"330010","ANGRA DOS REIS","RJ","03/2024","83424"
"330010","ANGRA DOS REIS","RJ","02/2024","82550"
"330010","ANGRA DOS REIS","RJ","01/2024","82615"
"330010","ANGRA DOS REIS","RJ","12/2023","84876"
"330010","ANGRA DOS REIS","RJ","11/2023","84563"
"330010","ANGRA DOS REIS","RJ","10/2023","84275"
"330010","ANGRA DOS REIS","RJ","09/2023","83926"
"330010","ANGRA DOS REIS","RJ","08/2023","83408"
"330010","ANGRA DOS REIS","RJ","07/2023","83056"
"330010","ANGRA DOS REIS","RJ","06/2023","82612"
"330010","ANGRA DOS REIS","RJ","05/2023","82188"
"330010","ANGRA DOS REIS","RJ","04/2023","81994"
"330010","ANGRA DOS REIS","RJ","03/2023","82673"
"330010","ANGRA DOS REIS","RJ","02/2023","82115"
"330010","ANGRA DOS REIS","RJ","01/2023","81394"
"330010","ANGRA DOS REIS","RJ","12/2022","81052"
"330010","ANGRA DOS REIS","RJ","11/2022","80275"
"330010","ANGRA DOS REIS","RJ","10/2022","79230"
"330010","ANGRA DOS REIS","RJ","09/2022","77210"
"330010","ANGRA DOS REIS","RJ","08/2022","75609"
"330010","ANGRA DOS REIS","RJ","07/2022","74357"
"330010","ANGRA DOS REIS","RJ","06/2022","73109"
"330010","ANGRA DOS REIS","RJ","05/2022","72008"
"330010","ANGRA DOS REIS","RJ","04/2022","71072"
"330010","ANGRA DOS REIS","RJ","03/2022","69679"
"330010","ANGRA DOS REIS","RJ","02/2022","68886"
"330010","ANGRA DOS REIS","RJ","01/2022","67624"
"330010","ANGRA DOS REIS","RJ","07/2021","63589"
"330010","ANGRA DOS REIS","RJ","06/2021","62765"
"330010","ANGRA DOS REIS","RJ","05/2021","62352"
"330010","ANGRA DOS REIS","RJ","08/2021","64171"
"330010","ANGRA DOS REIS","RJ","09/2021","64712"
"330010","ANGRA DOS REIS","RJ","11/2021","66159"
"330010","ANGRA DOS REIS","RJ","02/2021","60678"
"330010","ANGRA DOS REIS","RJ","12/2021","66705"
"330010","ANGRA DOS REIS","RJ","04/2021","61847"
"330010","ANGRA DOS REIS","RJ","03/2021","61237"
"330010","ANGRA DOS REIS","RJ","10/2021","65309"
"330010","ANGRA DOS REIS","RJ","01/2021","60035"
"330010","ANGRA DOS REIS","RJ","01/2020","57978"
"330010","ANGRA DOS REIS","RJ","02/2020","55789"
"330010","ANGRA DOS REIS","RJ","03/2020","56388"
