,Código,Município,Ano,IFGF,C_IFGF,IFDM,C_IFDM
0,330010,Angra dos Reis,2013,0.289811052798796,Crítica,0.6387,Moderado
1,330015,Aperibé,2013,,Crítica,0.5717,Baixo
2,330020,Araruama,2013,0.33586960605987,Crítica,0.533,Baixo
3,330022,Areal,2013,0.618364047408131,Boa Gestão,0.6244,Moderado
4,330023,Armação dos Búzios,2013,0.420488183418683,Dificuldade,0.6004,Moderado
5,330025,Arraial do Cabo,2013,0.251219906806781,Crítica,0.5978,Baixo
6,330030,Barra do Piraí,2013,0.775269132592429,Boa Gestão,0.5242,Baixo
7,330040,Barra Mansa,2013,0.637531605653931,Boa Gestão,0.6172,Moderado
8,330045,Belford Roxo,2013,0.263927734393766,Crítica,0.394,Crítico
9,330050,Bom Jardim,2013,0.747258757546369,Boa Gestão,0.5537,Baixo
10,330060,Bom Jesus do Itabapoana,2013,0.562372865820839,Dificuldade,0.5761,Baixo
11,330070,Cabo Frio,2013,0.530197412017737,Dificuldade,0.5768,Baixo
12,330080,Cachoeiras de Macacu,2013,0.362891726390312,Crítica,0.5368,Baixo
13,330090,Cambuci,2013,0.495021228992035,Dificuldade,0.4212,Baixo
14,330093,Carapebus,2013,0.277385898227984,Crítica,0.5503,Baixo
15,330095,Comendador Levy Gasparian,2013,0.434793857048175,Dificuldade,0.6461,Moderado
16,330100,Campos dos Goytacazes,2013,0.669338031619741,Boa Gestão,0.5279,Baixo
17,330110,Cantagalo,2013,0.522295905327294,Dificuldade,0.5494,Baixo
18,330115,Cardoso Moreira,2013,0.490086362074906,Dificuldade,0.4696,Baixo
19,330120,Carmo,2013,0.599963239986202,Dificuldade,0.5675,Baixo
20,330130,Casimiro de Abreu,2013,0.678333692248885,Boa Gestão,0.5902,Baixo
21,330140,Conceição de Macabu,2013,0.358630250817421,Crítica,0.493,Baixo
22,330150,Cordeiro,2013,0.344010872843218,Crítica,0.6046,Moderado
23,330160,Duas Barras,2013,,Crítica,0.5109,Baixo
24,330170,Duque de Caxias,2013,0.54527020768405,Dificuldade,0.5565,Baixo
25,330180,Engenheiro Paulo de Frontin,2013,0.399413662273003,Crítica,0.4808,Baixo
26,330185,Guapimirim,2013,0.39401845904958,Crítica,0.5099,Baixo
27,330187,Iguaba Grande,2013,0.724274226250523,Boa Gestão,0.4902,Baixo
28,330190,Itaboraí,2013,0.79251043966843,Boa Gestão,0.5826,Baixo
29,330200,Itaguaí,2013,0.634579350146617,Boa Gestão,0.6185,Moderado
30,330205,Italva,2013,0.477621720465407,Dificuldade,0.5426,Baixo
31,330210,Itaocara,2013,0.57523408009554,Dificuldade,0.4656,Baixo
32,330220,Itaperuna,2013,0.62538606531617,Boa Gestão,0.652,Moderado
33,330225,Itatiaia,2013,0.742401215419396,Boa Gestão,0.5986,Baixo
34,330227,Japeri,2013,0.567888882550123,Dificuldade,0.3399,Crítico
35,330230,Laje do Muriaé,2013,0.652117420634789,Boa Gestão,0.4485,Baixo
36,330240,Macaé,2013,0.689548373472166,Boa Gestão,0.6581,Moderado
37,330245,Macuco,2013,0.570766024420081,Dificuldade,0.5219,Baixo
38,330250,Magé,2013,0.404741774913833,Dificuldade,0.4464,Baixo
39,330260,Mangaratiba,2013,0.643333720079285,Boa Gestão,0.6308,Moderado
40,330270,Maricá,2013,0.658847244706893,Boa Gestão,0.5174,Baixo
