COD_MUNIC,NOME_MUNIC,Ano,IFDM,IFDM_Classificacao,IFDM_Educacao,IFDM_Educacao_Classificacao,IFDM_Saude,IFDM_Saude_Classificacao,IFDM_Renda,IFDM_Renda_Classificacao,Beneficiarios_PBF
330010,Angra dos Reis,2013,0.6387,Moderado,0.3745,Crítico,0.6807,Moderado,0.8609,Alto,33995.0
330010,Angra dos Reis,2014,0.6531,Moderado,0.3917,Crítico,0.6891,Moderado,0.8785,Alto,35754.416666666664
330010,Angra dos Reis,2015,0.6385,Moderado,0.4004,Baixo,0.6887,Moderado,0.8264,Alto,35485.166666666664
330010,Angra dos Reis,2016,0.5974,Baixo,0.363,Crítico,0.6716,Moderado,0.7575,Moderado,35760.25
330010,Angra dos Reis,2017,0.5897,Baixo,0.3862,Crítico,0.6629,Moderado,0.7201,Moderado,31065.083333333332
330010,Angra dos Reis,2018,0.5755,Baixo,0.3664,Crítico,0.6703,Moderado,0.6898,Moderado,29786.75
330010,Angra dos Reis,2019,0.5982,Baixo,0.4109,Baixo,0.6764,Moderado,0.7074,Moderado,30137.833333333332
330010,Angra dos Reis,2020,0.5808,Baixo,0.4421,Baixo,0.6131,Moderado,0.6873,Moderado,32040.0
330010,Angra dos Reis,2021,0.597,Baixo,0.4413,Baixo,0.6312,Moderado,0.7186,Moderado,32668.6
330010,Angra dos Reis,2022,0.6339,Moderado,0.5003,Baixo,0.6235,Moderado,0.7778,Moderado,
330010,Angra dos Reis,2023,0.6623,Moderado,0.544,Baixo,0.6522,Moderado,0.7908,Moderado,48138.9
330015,Aperibé,2013,0.5717,Baixo,0.6333,Moderado,0.4826,Baixo,0.5992,Baixo,2457.0
330015,Aperibé,2014,0.619,Moderado,0.662,Moderado,0.6204,Moderado,0.5745,Baixo,2349.5
330015,Aperibé,2015,0.568,Baixo,0.632,Moderado,0.5036,Baixo,0.5685,Baixo,2150.5833333333335
330015,Aperibé,2016,0.6032,Moderado,0.6185,Moderado,0.649,Moderado,0.5421,Baixo,2173.1666666666665
330015,Aperibé,2017,0.6212,Moderado,0.6519,Moderado,0.6644,Moderado,0.5472,Baixo,1936.1666666666667
330015,Aperibé,2018,0.5676,Baixo,0.6365,Moderado,0.5194,Baixo,0.547,Baixo,1804.5833333333333
330015,Aperibé,2019,0.5894,Baixo,0.6858,Moderado,0.5186,Baixo,0.5638,Baixo,1845.5833333333333
330015,Aperibé,2020,0.6334,Moderado,0.6944,Moderado,0.6228,Moderado,0.5831,Baixo,1914.4166666666667
330015,Aperibé,2021,0.6142,Moderado,0.673,Moderado,0.5492,Baixo,0.6204,Moderado,2036.3
330015,Aperibé,2022,0.6745,Moderado,0.7328,Moderado,0.6723,Moderado,0.6184,Moderado,
330015,Aperibé,2023,0.667,Moderado,0.7228,Moderado,0.6445,Moderado,0.6338,Moderado,2733.4
330020,Araruama,2013,0.533,Baixo,0.4089,Baixo,0.5688,Baixo,0.6213,Moderado,31610.0
330020,Araruama,2014,0.5205,Baixo,0.4147,Baixo,0.5232,Baixo,0.6235,Moderado,32180.583333333332
330020,Araruama,2015,0.529,Baixo,0.4019,Baixo,0.5821,Baixo,0.6029,Moderado,31817.666666666668
330020,Araruama,2016,0.5161,Baixo,0.3903,Crítico,0.5858,Baixo,0.5722,Baixo,31832.0
330020,Araruama,2017,0.5035,Baixo,0.385,Crítico,0.5901,Baixo,0.5354,Baixo,31738.25
330020,Araruama,2018,0.5314,Baixo,0.4079,Baixo,0.6474,Moderado,0.539,Baixo,33687.666666666664
330020,Araruama,2019,0.5394,Baixo,0.4542,Baixo,0.6182,Moderado,0.5457,Baixo,33005.833333333336
330020,Araruama,2020,0.5631,Baixo,0.5113,Baixo,0.6143,Moderado,0.5638,Baixo,30894.166666666668
330020,Araruama,2021,0.5764,Baixo,0.5018,Baixo,0.6247,Moderado,0.6026,Moderado,30218.2
