"Código","Unidade Territorial","UF","Referência","Pessoas beneficiárias no PBF (até Out/2021)","Pessoas beneficiárias no PBF (a partir de Mar/2023)"
"330010","ANGRA DOS REIS","RJ","08/2023","","48099"
"330010","ANGRA DOS REIS","RJ","04/2023","","49156"
"330010","ANGRA DOS REIS","RJ","06/2023","","49113"
"330010","ANGRA DOS REIS","RJ","11/2024","","45570"
"330010","ANGRA DOS REIS","RJ","03/2024","","45230"
"330010","ANGRA DOS REIS","RJ","08/2014","36588",""
"330010","ANGRA DOS REIS","RJ","03/2023","","49401"
"330010","ANGRA DOS REIS","RJ","12/2024","","45702"
"330010","ANGRA DOS REIS","RJ","06/2024","","43853"
"330010","ANGRA DOS REIS","RJ","07/2023","","48226"
"330010","ANGRA DOS REIS","RJ","05/2023","","49111"
"330010","ANGRA DOS REIS","RJ","08/2024","","44570"
"330010","ANGRA DOS REIS","RJ","11/2023","","46334"
"330010","ANGRA DOS REIS","RJ","01/2024","","46829"
"330010","ANGRA DOS REIS","RJ","10/2024","","44865"
"330010","ANGRA DOS REIS","RJ","07/2024","","45095"
"330010","ANGRA DOS REIS","RJ","10/2014","36694",""
"330010","ANGRA DOS REIS","RJ","07/2014","36952",""
"330010","ANGRA DOS REIS","RJ","04/2024","","45029"
"330010","ANGRA DOS REIS","RJ","04/2014","35501",""
"330010","ANGRA DOS REIS","RJ","05/2024","","44268"
"330010","ANGRA DOS REIS","RJ","09/2024","","44143"
"330010","ANGRA DOS REIS","RJ","12/2023","","47001"
"330010","ANGRA DOS REIS","RJ","02/2024","","45765"
"330010","ANGRA DOS REIS","RJ","09/2023","","47737"
"330010","ANGRA DOS REIS","RJ","10/2023","","47211"
"330010","ANGRA DOS REIS","RJ","04/2018","28770",""
"330010","ANGRA DOS REIS","RJ","09/2018","29040",""
"330010","ANGRA DOS REIS","RJ","01/2017","33479",""
"330010","ANGRA DOS REIS","RJ","10/2018","29546",""
"330010","ANGRA DOS REIS","RJ","08/2018","29960",""
"330010","ANGRA DOS REIS","RJ","02/2017","33684",""
